Final area = 224640
Black area = 16049

block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb14 (818, 134) (931, 218)
sb0 (701, 134) (818, 240)
sb19 (581, 134) (701, 237)
sb22 (855, 44) (936, 133)
sb1 (855, 0) (900, 44)
sb3 (777, 0) (855, 134)
sb20 (650, 0) (777, 134)
sb16 (581, 0) (650, 134)
sb11 (529, 165) (581, 239)
sb23 (529, 35) (579, 165)
sb15 (413, 200) (525, 239)
sb7 (450, 92) (529, 200)
sb5 (413, 92) (450, 195)
sb2 (413, 35) (511, 92)
sb10 (371, 141) (406, 230)
sb18 (371, 35) (413, 141)
sb25 (371, 0) (489, 35)
sb8 (307, 111) (371, 238)
sb6 (307, 33) (369, 111)
sb27 (307, 0) (344, 33)
sb13 (240, 175) (304, 237)
sb29 (240, 130) (290, 175)
sb26 (240, 0) (307, 130)
sb17 (108, 169) (240, 240)
sb12 (153, 71) (237, 166)
sb21 (108, 71) (153, 169)
sb28 (108, 0) (233, 71)
sb4 (0, 161) (88, 240)
sb9 (0, 49) (108, 161)
sb24 (0, 0) (108, 49)

